record_id,article_id,query,response,model_id,story_path,coherence_gold,consistency_gold
dm-test-7cba80e83b222801fed8d6f96e8c0aa381c54b28__M1,dm-test-7cba80e83b222801fed8d6f96e8c0aa381c54b28,Summarize the article.,lindegaard tied the knot with the swedish model last year in a romantic beach wedding in mauritius . lindegaard tied the knot with the stunning model last year and the couple have a son together . manchester united goalkeeper anders lindegaard made the most of the english weather with misse beqiri .,M1,dailymail/stories/7cba80e83b222801fed8d6f96e8c0aa381c54b28.story,2.0,5.0
cnn-test-4761dc6d8bdf56b9ada97104113dd1bcf4aed3f1__M9,cnn-test-4761dc6d8bdf56b9ada97104113dd1bcf4aed3f1,Summarize the article.,"north pacific gray whale has earned a spot in the record books . the whale , named varvara , swam nearly 14,000 miles -lrb- 22,500 kilometers -rrb- . varvara 's journey surpassed a record listed on the guinness worlds records website . varvara visited `` three major breeding areas for eastern gray whales ''",M9,cnn/stories/4761dc6d8bdf56b9ada97104113dd1bcf4aed3f1.story,4.0,5.0
cnn-test-c05bda9b387ec8ae43803170b6f59b4b82505db9__M20,cnn-test-c05bda9b387ec8ae43803170b6f59b4b82505db9,Summarize the article.,ISIS released over 200 Yazidis on Wednesday.,M20,cnn/stories/c05bda9b387ec8ae43803170b6f59b4b82505db9.story,4.667,5.0
dm-test-2377095dda83df778e34304b7a09813808105d3b__M13,dm-test-2377095dda83df778e34304b7a09813808105d3b,Summarize the article.,"thousands of holidaymakers caught up in last summer 's passport delay fiasco have not received any compensation . at the same time , managers at the passport agency , which made a # 42 million profit during the chaos , received up to # 3,500 in bonuses . ministers refused to give a blanket refund to the desperate families who had to pay extra to get their travel documents rushed through .",M13,dailymail/stories/2377095dda83df778e34304b7a09813808105d3b.story,5.0,5.0
dm-test-8bc8f134bc3ceaeec0df8f29e96e13d319717ab8__M20,dm-test-8bc8f134bc3ceaeec0df8f29e96e13d319717ab8,Summarize the article.,Barca have no plans to replace Luis Enrique,M20,dailymail/stories/8bc8f134bc3ceaeec0df8f29e96e13d319717ab8.story,5.0,4.333
cnn-test-fbbafa743a8c2ecd2cedf65c6c61956b2db8ec5c__M13,cnn-test-fbbafa743a8c2ecd2cedf65c6c61956b2db8ec5c,Summarize the article.,"`` roots , '' the epic miniseries about an african-american slave and his descendants , had a staggering audience of over 100 million viewers back in 1977 . a&e networks are remaking the miniseries , to air in 2016 . levar burton , who portrayed kinte in the original , will co-executive produce the new miniseries .",M13,cnn/stories/fbbafa743a8c2ecd2cedf65c6c61956b2db8ec5c.story,4.667,5.0
dm-test-f26d8400ae49b90d109c165d0f44b8f6ca253c08__M10,dm-test-f26d8400ae49b90d109c165d0f44b8f6ca253c08,Summarize the article.,chelsea have made an offer for fc tokyo 's yoshinori muto . japan international will join chelsea 's vitesse arnhem on loan next season . muto claims chelsea 's interest in muto is not connected to the # 200million deal they signed with yokohama rubber in february .,M10,dailymail/stories/f26d8400ae49b90d109c165d0f44b8f6ca253c08.story,3.333,4.667
dm-test-0cdd7cdb5d99c36f25f1f4fa0e962d558f7ff07b__M20,dm-test-0cdd7cdb5d99c36f25f1f4fa0e962d558f7ff07b,Summarize the article.,"England Under-17s have qualified for the UEFA European Under-17 Championship in Bulgaria Trent Arnold (Liverpool), Herbie Kane (Liverpool), Chris Willock (Arsenal), Stephy Mavididi (Arsenal), Ike Ugbo (Chelsea) England Under-17s are in Group D alongside Italy, Holland and the Republic of Ireland England U17s will open their campaign against Italy on May 7 England U17s are in Group D alongside Italy",M20,dailymail/stories/0cdd7cdb5d99c36f25f1f4fa0e962d558f7ff07b.story,2.0,5.0
dm-test-2c6695b438980783754f7db28129ec2fbb3e6e21__M9,dm-test-2c6695b438980783754f7db28129ec2fbb3e6e21,Summarize the article.,"kevin rebbie , 56 , was arrested after a 15-year-old girl found a hidden camera in her bathroom . he allegedly sexually abusing a girl in her home over a four-year period . kevin rebbie , 56 , faces several charges , including aggravated indecent assault . the investigation began when a 15-year-old found a hidden camera under the sink . she told investigators that rebbie had been watching her for years when she was undressing .",M9,dailymail/stories/2c6695b438980783754f7db28129ec2fbb3e6e21.story,3.333,4.667
dm-test-801763443e6c73e3857039f2223798b2b58bef19__M10,dm-test-801763443e6c73e3857039f2223798b2b58bef19,Summarize the article.,gregory van der wiel has denied claims he is set to leave paris saint-germain in the summer and instead reiterated his ` love ' for the club . the dutchman says he 's not interested in leaving the ligue 1 side . dani alves is being linked with a move to the french champions .,M10,dailymail/stories/801763443e6c73e3857039f2223798b2b58bef19.story,2.667,5.0
dm-test-e7d8b6617691ea00d4ddc5fe2b7cbd105ba9a57e__M9,dm-test-e7d8b6617691ea00d4ddc5fe2b7cbd105ba9a57e,Summarize the article.,"stephen munden , 54 , has been missing since 6.15 pm on tuesday . officers have launched a manhunt to find munden - who was sexually touching the three-year-old girl . he was last seen leaving a hospital , near hook , hampshire . he was detained at the private facility under a hospital order following his sentence . munden suffers from learning difficulties , may have shaved off his beard .",M9,dailymail/stories/e7d8b6617691ea00d4ddc5fe2b7cbd105ba9a57e.story,3.667,4.667
dm-test-3785743303ddb8b594be7c449a37458b99e83812__M12,dm-test-3785743303ddb8b594be7c449a37458b99e83812,Summarize the article.,steve bruce is adamant he can keep hull city in the barclays premier league . hull were the better side against southampton for the first 45 minutes but a james ward-prowse penalty and late strike from graziano pelle meant they left with nothing . steve bruce is confident he can keep hull city in the premier league .,M12,dailymail/stories/3785743303ddb8b594be7c449a37458b99e83812.story,3.333,5.0
dm-test-632cfdb03aacd90a34a470f6a70b47eee62ec5f0__M22,dm-test-632cfdb03aacd90a34a470f6a70b47eee62ec5f0,Summarize the article.,Serge Gnabry played 90 minutes for Arsenal Under 21s against Reading . The 19-year-old has not featured for the first team since March last year . The Germany Under-21 international played for Arsenal 's development squad as they lost 1-0 to Reading .,M22,dailymail/stories/632cfdb03aacd90a34a470f6a70b47eee62ec5f0.story,3.333,5.0
dm-test-2cf8c2d1d2ceb1980249f77e703f9039e63799d0__M5,dm-test-2cf8c2d1d2ceb1980249f77e703f9039e63799d0,Summarize the article.,japanese photographer yûki aoyama 's latest series of images capture po - faced teenagers pictured next to their fathers leaping into the air . in each picture the daughter looks directly into the camera smiling while her father pulls a dramatic pose . a series of images by photographer yûki aoyama sees fathers leaping into the air next to their daughters the images are from the 37 - year - old 's latest book which roughly translates into daughter and salary man .,M5,dailymail/stories/2cf8c2d1d2ceb1980249f77e703f9039e63799d0.story,2.667,5.0
dm-test-f26d8400ae49b90d109c165d0f44b8f6ca253c08__M8,dm-test-f26d8400ae49b90d109c165d0f44b8f6ca253c08,Summarize the article.,chelsea have made an offer for fc tokyo 's 22-year-old yoshinori muto . the japan international has played for the j-league side since 2013 . chelsea 's interest in muto is not connected to the £200million deal they signed with japanese company yokohama rubber in february .,M8,dailymail/stories/f26d8400ae49b90d109c165d0f44b8f6ca253c08.story,3.667,5.0
dm-test-c16c9fa34ccae7e2b9e29c3988ccb74974c4b3c0__M5,dm-test-c16c9fa34ccae7e2b9e29c3988ccb74974c4b3c0,Summarize the article.,"carlos tevez has been told to terminate his contract with juventus to complete a return to his former club boca juniors in argentina . the former manchester city striker 's deal with the serie a champions does not expire until the end of next season but he has reportedly told the club he wishes to leave this summer . boca have confirmed they are close to completing a deal for the 31 - year - old , but club president daniel angelici has stressed that tevez must terminate his contract with the italians first .",M5,dailymail/stories/c16c9fa34ccae7e2b9e29c3988ccb74974c4b3c0.story,4.667,5.0
dm-test-a3b6201aca77b5bdaa5df02d6acee2be66233237__M10,dm-test-a3b6201aca77b5bdaa5df02d6acee2be66233237,Summarize the article.,"dawn , who has seven miscarriages , was furious to discover her friend had stolen from her . when one of mr kyle 's famous lie detector tests revealed jamie , who lives with dawn and her partner who is also called jamie , burst into tears and stormed off . jamie had sent a message to dawn during the journey to london in which he declared his undying love .",M10,dailymail/stories/a3b6201aca77b5bdaa5df02d6acee2be66233237.story,2.333,4.667
dm-test-6372eff07fd3d6f578f90d6115e01747edccc095__M2,dm-test-6372eff07fd3d6f578f90d6115e01747edccc095,Summarize the article.,"however , he has n't ruled out the chance of someone could potentially use them for weapons . space lasers : dr adrian quarterman has suggested space lasers could be used to power homes in the future - but says the beams will be nowhere near as powerful as imagined in films like star wars -lrb- pictured -rrb- . dr adrian quarterman , of dundee university , is working on a laser which will convert sun beams into energy , the times reported .",M2,dailymail/stories/6372eff07fd3d6f578f90d6115e01747edccc095.story,3.0,5.0
cnn-test-e2bccd4dec93c9bb7b327827dae004c2d494ec31__M22,cnn-test-e2bccd4dec93c9bb7b327827dae004c2d494ec31,Summarize the article.,"Defense Minister Gen Nakatani told the Diet , Japan 's parliament , that his jets had , to date , never come across any UFOs from outer space . Inoki had asked if aircraft were ever scrambled to meet extraterrestrial threats , and if research was being done into alien visitors .",M22,cnn/stories/e2bccd4dec93c9bb7b327827dae004c2d494ec31.story,3.667,5.0
dm-test-8b59fa7715418c4bcc0d50e3caeb239129de453e__M20,dm-test-8b59fa7715418c4bcc0d50e3caeb239129de453e,Summarize the article.,"Joe Hart is a legend of the game, and he's made it to the 50th cap.",M20,dailymail/stories/8b59fa7715418c4bcc0d50e3caeb239129de453e.story,4.667,4.667
cnn-test-fbbafa743a8c2ecd2cedf65c6c61956b2db8ec5c__M5,cnn-test-fbbafa743a8c2ecd2cedf65c6c61956b2db8ec5c,Summarize the article.,""" roots , "" the epic miniseries about an african - american slave and his descendants , had a staggering audience of over 100 million viewers back in 1977 . now a&e networks are remaking the miniseries , to air in 2016 .",M5,cnn/stories/fbbafa743a8c2ecd2cedf65c6c61956b2db8ec5c.story,4.667,5.0
dm-test-9b1af0f993d78353ebd56a1b180e882e751527b3__M13,dm-test-9b1af0f993d78353ebd56a1b180e882e751527b3,Summarize the article.,"aaron siler , 26 , was fatally shot after he ` armed himself with a weapon ' after being confronted by officer pablo torres on march 14 . torres is currently on leave pending the outcome of the investigation into the deadly shooting .",M13,dailymail/stories/9b1af0f993d78353ebd56a1b180e882e751527b3.story,4.667,5.0
dm-test-6c1341bedf92a304318545fbf1aad88651de7909__M0,dm-test-6c1341bedf92a304318545fbf1aad88651de7909,Summarize the article.,"harry kane 's celebrations this season have always shown him to be an animated young man when he 's on the pitch - but now he is being animated off it as well . the tottenham sensation , who has broken through into the first team , and into roy hodgson 's england side during a remarkable season , is nominated for both the pfa player and young player of the season . and now the spurs striker features in a clever new animation , which features some of kane 's best goals , and celebrations from the season .",M0,dailymail/stories/6c1341bedf92a304318545fbf1aad88651de7909.story,4.333,5.0
dm-test-0cd10ad50ceef529d96a255ed12ac9cd001ba9db__M5,dm-test-0cd10ad50ceef529d96a255ed12ac9cd001ba9db,Summarize the article.,"for years she kept what van ryn did to her a secret , but when she found out he had been caught she knew she had to break her silence . the wealthy nsw businessman has pleaded guilty to 12 sex offences , including the most serious charge of persistent sexual abuse of a child . one of his victims told sydney 's district court on monday that she is scared for her future relationships , and did n't understand why she had been targeted . the wealthy nsw businessman has pleaded guilty to 12 sex offences , including the most serious charge of persistent sexual abuse of a child",M5,dailymail/stories/0cd10ad50ceef529d96a255ed12ac9cd001ba9db.story,3.0,5.0
dm-test-4001b252a072ac149c70840b22299cc6cfab3bae__M11,dm-test-4001b252a072ac149c70840b22299cc6cfab3bae,Summarize the article.,radamel falcao has struggled for manchester united during his season-long loan . louis van gaal 's side have to pay # 46million to make falcao 's transfer permanent . the atletico madrid striker has scored four goals in louis van . falcao is not happy in france but thinks he would have been better off .,M11,dailymail/stories/4001b252a072ac149c70840b22299cc6cfab3bae.story,2.667,3.667
dm-test-23e8c1d71474d239aa9ae37b9a05031b0054b8ce__M9,dm-test-23e8c1d71474d239aa9ae37b9a05031b0054b8ce,Summarize the article.,jamie vardy scored an injury-time winner against west bromwich albion . swansea host swansea on saturday just three points from safety . west brom are bottom of the table . pearson wants his side to remain focused on their own jobs .,M9,dailymail/stories/23e8c1d71474d239aa9ae37b9a05031b0054b8ce.story,1.667,1.667
cnn-test-e2bccd4dec93c9bb7b327827dae004c2d494ec31__M15,cnn-test-e2bccd4dec93c9bb7b327827dae004c2d494ec31,Summarize the article.,"the classic video game `` space invaders '' was developed in japan back in the late 1970 . luckily , japanese can sleep soundly in their beds tonight as the government 's top military official revealed that the country 's air self defense force had never encountered an extraterrestrial unidentified flying object .",M15,cnn/stories/e2bccd4dec93c9bb7b327827dae004c2d494ec31.story,3.667,4.667
dm-test-e43eef75de38d246db9d80216ca9f5487215a78b__M23,dm-test-e43eef75de38d246db9d80216ca9f5487215a78b,Summarize the article.,filipe luis insists he wants to stay at chelsea until the end of his contract . atletico madrid are considering re-signing the defender in the summer . luis signed a three-year contract at stamford bridge last july .,M23,dailymail/stories/e43eef75de38d246db9d80216ca9f5487215a78b.story,4.333,5.0
dm-test-2cf8c2d1d2ceb1980249f77e703f9039e63799d0__M22,dm-test-2cf8c2d1d2ceb1980249f77e703f9039e63799d0,Summarize the article.,Japanese photographer Yûki Aoyama 's latest series of images capture po-faced teenagers pictured next to their fathers leaping into the air . In each picture the daughter looks directly into the camera smiling while her father pulls a dramatic pose . The images are said to be part of a book which roughly translates into Daughter and Salaryman .,M22,dailymail/stories/2cf8c2d1d2ceb1980249f77e703f9039e63799d0.story,4.667,5.0
dm-test-0783c68a744df6afa009d16e72709f2b4d90dea1__M8,dm-test-0783c68a744df6afa009d16e72709f2b4d90dea1,Summarize the article.,usain bolt will compete at the relay championship on may 2 and 3 as part of the jamaican team . the six-time olympic gold medallist will compete at the relay championship on may 2 . bolt insists he always does ' his best to make his country proud ' .,M8,dailymail/stories/0783c68a744df6afa009d16e72709f2b4d90dea1.story,2.333,5.0
dm-test-81bd721b16cad47dfd8d24baca5b30b006291db2__M2,dm-test-81bd721b16cad47dfd8d24baca5b30b006291db2,Summarize the article.,"nathan hughes on friday night had his ban for accidentally knocking out george north sensationally over-turned on appeal , following an outcry on his behalf . the wasps no 8 was initially suspended for three matches , after a disciplinary panel ruled he had been ` reckless ' for failing to prevent his knee colliding with the head of the welsh lion , as he scored a try for northampton on march 27 . nathan hughes 's knee collided with george north 's head as he crossed the line to score for northampton .",M2,dailymail/stories/81bd721b16cad47dfd8d24baca5b30b006291db2.story,3.667,5.0
dm-test-d89de9c2a76f2665560becfe5d761a4fc62b9926__M8,dm-test-d89de9c2a76f2665560becfe5d761a4fc62b9926,Summarize the article.,"altrincham 's compact 6,000-capacity home may not be old trafford , but it does have a proud history of its own . callum gribbin was the matchwinner for manchester united with a delightful free-kick . entry was probably as far removed from sunday 's big match as you could imagine .",M8,dailymail/stories/d89de9c2a76f2665560becfe5d761a4fc62b9926.story,2.0,5.0
dm-test-0cd10ad50ceef529d96a255ed12ac9cd001ba9db__M13,dm-test-0cd10ad50ceef529d96a255ed12ac9cd001ba9db,Summarize the article.,"maurice van ryn has pleaded guilty to 12 sex offences , including the most serious charge of persistent sexual abuse of a child . one of his victims told sydney 's district court that she is scared for her future relationships , and did n't understand why she had been targeted .",M13,dailymail/stories/0cd10ad50ceef529d96a255ed12ac9cd001ba9db.story,5.0,5.0
dm-test-f26d8400ae49b90d109c165d0f44b8f6ca253c08__M17,dm-test-f26d8400ae49b90d109c165d0f44b8f6ca253c08,Summarize the article.,yoshinori muto has been linked with a £4million move to chelsea . fc tokyo president naoki ogane claims blues have made an offer . muto would join chelsea's dutch partner club vitesse arnhem on loan . the 22-year-old only graduated from keio university two weeks ago .,M17,dailymail/stories/f26d8400ae49b90d109c165d0f44b8f6ca253c08.story,2.667,5.0
dm-test-0cd10ad50ceef529d96a255ed12ac9cd001ba9db__M14,dm-test-0cd10ad50ceef529d96a255ed12ac9cd001ba9db,Summarize the article.,"maurice van ryn has pleaded guilty to 12 sex offences , including the most serious charge of persistent sexual abuse of a child . the wealthy nsw businessman has pleaded guilty to 12 sex offences , including the most serious charge of persistent sexual abuse of a child . the young woman , who can not be named , said when he abused her as a child she did n't know it was wrong .",M14,dailymail/stories/0cd10ad50ceef529d96a255ed12ac9cd001ba9db.story,2.333,5.0
dm-test-207df192edc1836250b69d1bc5b9e6a38206eb78__M11,dm-test-207df192edc1836250b69d1bc5b9e6a38206eb78,Summarize the article.,"babies given antibiotics in first six months of life , more likely to be fat as toddlers , a large-scale study finds . the widely-prescribed drugs could be contributing to the obesity epidemic . a third of 10-11 year olds and more than a fifth of 4-5 year olds in england are overweight or obese . the study did n't prove that antibiotics are used to make farm animals put on weight , the may also be the first to die at an early age age .",M11,dailymail/stories/207df192edc1836250b69d1bc5b9e6a38206eb78.story,3.0,4.333
dm-test-4e0de0ec6d5b9df174f54d03158de8f30aac861f__M5,dm-test-4e0de0ec6d5b9df174f54d03158de8f30aac861f,Summarize the article.,"the german star was in fine form as the world cup winners beat georgia 2 - 0 in their euro 2016 qualifier on sunday , and is now setting his sights on the premier league encounter with liverpool at the weekend . mesut ozil posted a picture on twitter relaxing with his dog on wednesday after returning home to london ozil impressed on international duty as germany beat gerogia 2 - 0 in a euro 2016 qualifier on sunday",M5,dailymail/stories/4e0de0ec6d5b9df174f54d03158de8f30aac861f.story,2.667,5.0
dm-test-14c813567696f4e63a39993c09d4edb454036179__M14,dm-test-14c813567696f4e63a39993c09d4edb454036179,Summarize the article.,"jesse and melissa meek announced they are expecting a child in a video set to the theme song from '90s television sitcom ` the fresh prince of bel-air ' the clip , which features jesse and melissa meek rapping as they drive in a car , has been viewed over 1.7 million times on youtube .",M14,dailymail/stories/14c813567696f4e63a39993c09d4edb454036179.story,4.333,5.0
dm-test-7cba80e83b222801fed8d6f96e8c0aa381c54b28__M5,dm-test-7cba80e83b222801fed8d6f96e8c0aa381c54b28,Summarize the article.,"lindegaard tied the knot with the swedish model last year in a romantic beach wedding in mauritius . and the united goalkeeper , who has struggled for minutes throughout his career in manchester , was keen to remind fans via his instagram page of his marriage to stunning beqiri . manchester united goalkeeper anders lindegaard made the most of the english weather with misse beqiri",M5,dailymail/stories/7cba80e83b222801fed8d6f96e8c0aa381c54b28.story,3.333,5.0
dm-test-2cfc33d01364162579f46b2764914a03a29453ce__M14,dm-test-2cfc33d01364162579f46b2764914a03a29453ce,Summarize the article.,"arsenal playmaker mesut ozil can now countdown the minutes until the 4pm encounter on sunday . the 26-year-old was the beneficiary of the timepiece - which ranges in price from # 299 to # 13,500 - as he visited an apple store on thursday afternoon . ozil compared his watch to tv character michael knight from the hit action show knight rider .",M14,dailymail/stories/2cfc33d01364162579f46b2764914a03a29453ce.story,4.0,5.0
dm-test-c6667409fcdea2c89ba9f0d3a72c50e3967b4b1b__M20,dm-test-c6667409fcdea2c89ba9f0d3a72c50e3967b4b1b,Summarize the article.,"Everton's Ross Barkley missed a penalty in the Premier League, but his replacement Leighton Baines had no problem taking the shot. Photo: PA",M20,dailymail/stories/c6667409fcdea2c89ba9f0d3a72c50e3967b4b1b.story,4.667,2.667
dm-test-02c955067d00f38b6978b805d5a8701a787f78ac__M17,dm-test-02c955067d00f38b6978b805d5a8701a787f78ac,Summarize the article.,"three vehicles collided on the brisbane valley highway, 2km south of fernvale, on wednesday afternoon . a 40-year-old man with chest and shoulder injuries and a five-year-old boy with chest pain were the first patients flown out by rescue helicopter . six others - including an infant and two young girls - have been taken to ipswich hospital with minor injuries or for further assessment .",M17,dailymail/stories/02c955067d00f38b6978b805d5a8701a787f78ac.story,4.333,5.0
dm-test-4a593dc4c7e0b4d09bfdc66bb315c47b54eb15df__M17,dm-test-4a593dc4c7e0b4d09bfdc66bb315c47b54eb15df,Summarize the article.,liverpool vice-captain jordan henderson thinks his side can catch manchester city in the premier league . henderson played his 47th game of season in the 2-0 win over newcastle united on monday night . raheem sterling opened the scoring in the ninth minute at anfield . joe allen capitalised on a defensive mistake to score his first anfield goal with 20 minutes to go .,M17,dailymail/stories/4a593dc4c7e0b4d09bfdc66bb315c47b54eb15df.story,2.667,5.0
dm-test-b5bc2ae78441e4ac08fb01823d5fc0f1627c3166__M2,dm-test-b5bc2ae78441e4ac08fb01823d5fc0f1627c3166,Summarize the article.,the dismissal of paul downton as england 's managing director may be the big talking point in english cricket but focus has already shifted to the start of the county championship season . kevin pietersen takes a moment to reflect ahead of a team photo shoot for surrey . the event at the kia oval comes before the start of the county championship season .,M2,dailymail/stories/b5bc2ae78441e4ac08fb01823d5fc0f1627c3166.story,1.667,5.0
dm-test-2a48112ddee712f2364f128076cb2db555a043b1__M14,dm-test-2a48112ddee712f2364f128076cb2db555a043b1,Summarize the article.,"esteban cambiasso has won all the major european competitions a player can during his illustrious career but revealed that keeping leicester up will feel like winning a trophy . the foxes are currently seven points adrift at the bottom of the table , with only eight games remaining . cambiasso refuses to give up and admits that keeping leicester up will feel like winning a trophy .",M14,dailymail/stories/2a48112ddee712f2364f128076cb2db555a043b1.story,4.333,5.0
cnn-test-88c2481234e763c9bbc68d0ab1be1d2375c1349a__M22,cnn-test-88c2481234e763c9bbc68d0ab1be1d2375c1349a,Summarize the article.,"Lady Antebellum singer Hillary Scott 's tour bus catches fire on a Texas freeway . Everyone on board was safely evacuated , Scott says . The fire destroyed everything in the bus 's back lounge except her Bible , she says . Scott is set to perform at the Academy of Country Music Awards on Sunday .",M22,cnn/stories/88c2481234e763c9bbc68d0ab1be1d2375c1349a.story,4.0,5.0
dm-test-2c6695b438980783754f7db28129ec2fbb3e6e21__M11,dm-test-2c6695b438980783754f7db28129ec2fbb3e6e21,Summarize the article.,"kevin rebbie , 56 , of limerick township , pennsylvania , was arrested after a 15-year-old girl found hidden hidden camera in her bathroom . police were able to trace back to the man a pennsylvania man was arrested . he was allegedly sexually abusing a girl in her home over a year period . the 15-year-old , now 15 , and others with a hidden camera camera in a bathroom . rebbie admitted to filming several victims , including other juveniles , but had purchased the camera specifically so he could record the now-15-year-old victim . rebbie and the .",M11,dailymail/stories/2c6695b438980783754f7db28129ec2fbb3e6e21.story,1.667,4.667
dm-test-4e0de0ec6d5b9df174f54d03158de8f30aac861f__M2,dm-test-4e0de0ec6d5b9df174f54d03158de8f30aac861f,Summarize the article.,"the german star was in fine form as the world cup winners beat georgia 2-0 in their euro 2016 qualifier on sunday , and is now setting his sights on the premier league encounter with liverpool at the weekend . mesut ozil posted a picture on twitter relaxing with his dog on wednesday after returning home to london . ozil impressed on international duty as germany beat gerogia 2-0 in a euro 2016 qualifier on sunday .",M2,dailymail/stories/4e0de0ec6d5b9df174f54d03158de8f30aac861f.story,2.333,5.0
dm-test-130ff8f2dfb6ab67861d5924b0ff5acd63c7d8ce__M9,dm-test-130ff8f2dfb6ab67861d5924b0ff5acd63c7d8ce,Summarize the article.,"relegation-threatened piatra have sacked brazilian coach ze maria for the second time . former brazil defender was fired on wednesday after a poor run . maria represented brazil on 25 occasions during an international career . ceahlaul 16th in the standings , six points adrift of safety .",M9,dailymail/stories/130ff8f2dfb6ab67861d5924b0ff5acd63c7d8ce.story,2.0,5.0
dm-test-e43eef75de38d246db9d80216ca9f5487215a78b__M14,dm-test-e43eef75de38d246db9d80216ca9f5487215a78b,Summarize the article.,filipe luis insists he wants to stay at chelsea until the end of his contract . the full back signed a three-year contract when he moved from the spanish champions last july . luis played in brazil 's friendly wins against france and chile .,M14,dailymail/stories/e43eef75de38d246db9d80216ca9f5487215a78b.story,1.667,5.0
