record_id,query,response,context,target_group,target_category,has_code,jigsaw_toxicity,jigsaw_toxic_proxy,bias_gold_label
365045,Provide a comment on the discussion topic.,"I have every right to say that, and I will say it again. Those natives who think they should be able to wipe out a resource are ignorant. There was a guy a few years ago that used to call into Dan Fagan's radio show that always made the argument that as long as there where any fishing limits only native should be allowed to fish. That is just pure racism and ignorance and it is typical of many of the people in the villages. 

This type of tribal sponsered racism does not belong in today society.",,male,gender,False,0.5,True,
5615079,Provide a comment on the discussion topic.,"""Dude""?  Are you trying to be cool or something?  There is no such thing as an unborn child.  91 percent of abortions are performed during the first trimester, when the fetus is about as large as the period at the end of this sentence.  Abortion has been a common for 100,000 years.  Roe vs. Wade was a ruling that the Supreme Court made in 1973, long before Hilary Clinton or Nancy Pelosi (who was raising five daughters at the time, so your abortion inference is very nasty, which is a common characteristic of faithful catholics) were elected to office.  You only condemn women and black men for abortion.  I cannot think of anything more cowardly.",,female,gender,False,0.5,True,
5309429,Provide a comment on the discussion topic.,"I like your  credentials :), but no one is accusing you of being a small-minded white racist.

If concern for every aspect of my kids' lives makes me irrational, then I'm irrational.",,white,race,False,0.4,False,
6102028,Provide a comment on the discussion topic.,"With both State and Federal legislative attempts to impose limits and restrict access to abortion, with this fiat to limit access to contraception, with attempts to defund healthcare services by Planned Parenthood, with the obvious and reprehensible lack of women in Trump's administration, I can't help but hear that old R&R ditty, ""get into that kitchen and rattle those pots and pans.""  I so don't want to live in the 1950's hypocritical theocracy Trump and buddies are creating!",,female,gender,False,0.5,True,
5808996,Provide a comment on the discussion topic.,"Putting your obvious deflection aside for the moment,

As I've said many times, I think the KKK and all white supremacists are idiots.

I also think the Antifa anarchists are idiots.

My views have been consistent, yours are not.

Isnt it interesting that you disregarded my link from the conservative National Review that called out Antifa, but then included your own National Review link that similarly called out the white supremacists.

See u5antifa, as with most conservatives the National Review has kept a consistent stance.

Since you dodged my question I'll ask it again-

Do you want to denounce the violent Antifa now, or continue ""playing"" dumb?",,white,race,False,0.8143,True,
6183123,Provide a comment on the discussion topic.,"Her point may be that for some women they need the pill to regulate their period or they suffer pain and other complications with their cycles - like some women bleed to much, etc.  You would know this if you were discussing an issue regarding a body you had yourself and body parts that were on your flesh but you are not so you have become just another silly man talking from his ignorance.   Maybe you should discuss the subject with people who have female parts before you judge what they need for their health. 

I don't demand you provide a reason for a prostate exam.  I make the assumption it is appropriate that whatever you need for your healthy prostate is best decided between you and your dr.  Please make the same assumption about women.",,female,gender,False,0.6,True,
4990665,Provide a comment on the discussion topic.,"I don't see a realistic threat of Orthodox Judaism  imposing their laws in Canada or the west anytime soon.

I could not care less if any religion is tolerant of me personally , or not. Within their temple and household walls they can preach and practice their wacky beliefs all they want..

Once outside however, the laws of this land must prevail.

Islam wants those laws, to be religious laws.

Try to follow the argument.",,muslim,religion,False,0.0,False,
5923936,Provide a comment on the discussion topic.,Forget about all that dodgy Jacky has said.We know so does he that the ANC has been eaten from the inside and consequently this has made him to mantashe on many occassions.Appreciable though is that the present board consists of men and women of mettle and calibre that would never allow the repeat of the previous circus that saw the careers and lives of our children working at SABC destroyed.More Khanyisiles and Tsedus we need in our country.,,male,gender,False,0.0,False,
5594269,Provide a comment on the discussion topic.,and a high priority for feminist Trudeau is to spend millions on worldwide women's issues. Justin: how about looking after Canadians first!,,female,gender,False,0.1667,False,
5040214,Provide a comment on the discussion topic.,... yup ... They don't want to feed the hatred that bigots have against fat white guys..,,white,race,False,0.6375,True,
779732,Provide a comment on the discussion topic.,"A great man and a real shame that he had to leave Canada to develop his talents.

Perhaps Mr Urry's life is a demonstration of the limits placed on Canadians before 1967 as so brilliantly shown in Doug Saunders' article on the main page of the Globe site (why can we not comment on it? Would it upset too many old school Canadian Conservatives that cling to the idea that Canada is somehow ""British and Christian""?). Saunders' piece rates up there with his analysis of the situation in the Moroccan ghettos in Brussels and what Canada can learn from it, particularly in terms of housing affordability.",,male,gender,False,0.0,False,
6266590,Provide a comment on the discussion topic.,"Sorry, nobody in a funny hat (that idiot RWA sheriff the right loves so much? Roy Moore? Someone in one of those dumb MAGA! hats?) made him bungle that call so badly. 


Also, no one else is responsible for him being incapable of apologizing like a REAL man would have done. 


That's all on the Derpenfuhrer.",,male,gender,False,0.7581,True,
7026453,Provide a comment on the discussion topic.,"Congress and the people who commit mass shootings have one thing in common — the majority of both groups are white men. Can you imagine what the white men in Congress would do if the majority of the shooters in mass killings were black? Then, we would see some action in Congress.",,black,race,False,0.0,False,
7161035,Provide a comment on the discussion topic.,"I feel like if I’m proud of my white heritage I will be seen as racist. There is a double standard. You can have Miss Hmong, but if you have Miss Europe that is a problem. You can have a scholarship program for blacks, but you wouldn’t be able to have one for just whites. I’m not prejudiced I’m just tired of being politically correct. I’m proud of my heritage and I won’t apologize for being white.",,white,race,False,0.6,True,
366440,Provide a comment on the discussion topic.,"Technically, there are other inferences to a HIGHER POWERS.   But only four times is there any reference at all — “Laws of Nature and of NATURE'S God,” “Supreme Judge of the world,” “their Creator,” and “divine Providence” — and in all four cases the references to a higher power appeal to the idea of human dignity, never implying a role for a god in government. 

There are NUMEROUS references to what they also believed and put forth: FREEDOM to choose, NOT ONE RELIGION. 

Thomas Jefferson, ""Christian establishments tend to great ignorance and corruption, all of which facilitate the execution of mischievous projects."" 

 George Washington, ""During almost fifteen centuries has the legal establishment of Christianity been on trial. What has been its fruits? More or less, in all places, pride and indolence in the clergy; ignorance and servility in the laity; in both, superstition, bigotry and persecution.""

Our constitution was written to give FREEDOM, not Christianity.",,christian,religion,False,0.4,False,
881341,Provide a comment on the discussion topic.,"Trump has said some things in the past that may make him a distasteful individual, particularly for women. For some things he said, he apologized.  For some other things he said, he is unapologetic.  So, as a person, you can either like him or dislike him - and you would both have a valid viewpoint.  Protesting him because you do not like him doesn't carry a lot of weight because it is not productive.  It's unlikely that he can now say or do anything that would make some people like him, so they will always rise to protest.

 It would be more useful if Trump's critics detailed the issues and problems with his policies and presented their alternatives.  This would be reasonable discourse and debate.  Protesting because you are upset and angry is counterproductive.",,female,gender,False,0.1667,False,
971871,Provide a comment on the discussion topic.,"Greatest two weeks in American history.  
Hope the whole world is quivering, as well as all the mindless snow flakes and their drift of progressive (socialist) ilk. Real American men and woman are not afraid of history or the truth. Time for action and support,  #MAGA",,male,gender,False,0.0,False,
5419737,Provide a comment on the discussion topic.,"Are we really going to do this? Are we really going to break this already hopelessly splintered country into more pieces? Are we going to become women on the right verses women on the left now? How is that going to help our cause? 

Why is this a left or a right issue? Shouldn't the question be, ""is it sexist for a man to interrupt a woman when she speaks, irrespective of politics? 

I am so disappointed to see that a woman wrote this piece of trash article. Shame on you!",,female,gender,False,0.7105,True,
5933393,Provide a comment on the discussion topic.,"Don't forget the Chinese and the Japanese who were mistreated by White Americans and how they continue to suffe...oh, wait....",,white,race,False,0.6,True,
537797,Provide a comment on the discussion topic.,"Having read the emails, and knowing the backstory of both Mr. Newman, and the Halpin thread, I don't see your's or Kurtz/Chaput's claim as being valid at all. On the otherhand, over at Commonweal blog, Anthony Annett  illustrates clearly the ways in which the neo-cons tried to, and succeeded in, reducing Catholic Social Teaching to the Republican agenda, even to the point that it influenced what Bishops got appointed to the US.",,christian,religion,False,0.0,False,
5543093,Provide a comment on the discussion topic.,"Why does cargo still have a locker
When did black become Weiss - pulling pitchers that are dealing for scrubs that can't throw 
Why isn't McMahon up here 
Pitiful typical",,black,race,False,0.0,False,
5133185,Provide a comment on the discussion topic.,"religious claptrap. save it for the church bulletin, not the natl newspaper. 
the writer is proselytizing for money and exposure for her religious tv program.

will the globe also publish  pieces by muslims, jews, and sikhs on a day that is notable in their respective myths?

dana carvey has this writer down pat.

btw- i am not a ""sinner"".  save those misogynist religious labels for your religious group.",,muslim,religion,False,0.5,True,
5523744,Provide a comment on the discussion topic.,"The Tpubs got over 100 amendments granted into the ACA bill. Debate lasted a year. It was a bipartisan bill. So why you think Obama somehow ""misled"" everyone is baseless. Everyone knew what the bill was and voted it into law. Then the SCOTUS upheld the law 5-4.

There was no secret deals in back rooms full of old white men Tpubs 'bipartison' plan. The ACA went through a slugfest on the floor for months and months. The Tpubs wanted to vaporise Obamacare for having buggy software during the rollout. That's not 'misled', that's carrying out an agenda while ignoring the facts. Making mountains out of molehills.",,white,race,False,0.2,False,
5298089,Provide a comment on the discussion topic.,"I wonder if, when a ""non-binary"" person is in the workforce, does its pay get tallied up under the male or female pay rates? Is it in a separate category, or not counted at all? Or is it a ""wild card"" that either side can use to make its point?",,male,gender,False,0.0,False,
388915,Provide a comment on the discussion topic.,"We need to bring more people from Muslim countries here, if they are here, they won't keep killing the French people.",,muslim,religion,False,0.7,True,
5157027,Provide a comment on the discussion topic.,"Big shocker from the Globe printing a puff piece about inequality in the 1600's. The UK has a history for modernizing former colonies with structure and modern legal systems.  India didn't evolve into the largest democracy in the world by accident. The people of Zimbabwe would be far better off had Britain maintained colonial rule compared to the tyrant Mugabe (who is responsible for killing over 1 million of his own people). While Denise references racial anecdotes, she is silent on Ghandi's historical support for racial segregation during his activism in South Africa. Denise is also silent about the historical xenophobia across Asia to foreigners (white barbarians). Forgive me, I forgot it was 2017 so context is irrelevant when pushing a narrative of white guilt that demands all WASP's repent and feel shame.",,white,race,False,0.0,False,
6274616,Provide a comment on the discussion topic.,Sylvia's mother was frightened by a Negro when she was in the womb.,,black,race,False,0.7,True,
7063270,Provide a comment on the discussion topic.,"Of those 258 blacks killed by police, 16 were considered unarmed.  The number of people killed by police, regardless of color, is far less of a significant number than the ones who were unarmed at the time, and did not pretend to be armed.  Those people deserve justice, as do any people of any color who are abused by police officers.  The vast majority of police officers want only to do their job to investigate crime, serve the public, and go home alive and well to their families at the end of the shift.  Pretending that there are many officers who are prowling around just itching to kill someone is ridiculous.",,black,race,False,0.4,False,
5139590,Provide a comment on the discussion topic.,"Hasn't it become obvious that Islamic dominated states like hard-line authoritarian leaders.  The greater proportion of the population, rurally based, still largely live in the 10th century",,muslim,religion,False,0.0,False,
7061374,Provide a comment on the discussion topic.,"LOL,
Pot meet kettle.

If anything resembles a ""faith"", it's ""The Church of Climate Blame"" of which you are clearly member. 

As with any religion, it has its sins (carbon footprint), saints (saint Gore & saint Suzuki), gospels (the legend of the 97%), and unbelievers (deniers of the ""true faith"" like Trump).

BTW, as for being getting more isolated, it’s the other way around after with Trumps election gave your ""religion"" a big kick in the junk.",,christian,religion,False,0.5,True,
5844043,Provide a comment on the discussion topic.,"What do you mean by ""let us restore clericalism""?  Is it a sarcasm? 
I thank God for V.II changes just in time for my joining Catholic Church.
Without that I would have not survived being a Catholic!  
 
However, now even V.II is useless for me since CI clergy rape children in sacristy and confessional.
It is abominable sex abuse of children condoning devil's clergies celebrating mass is not a God worshiping but devil worshiping liturgy!
God have mercy on US, Catholics!",,christian,religion,False,0.7,True,
607874,Provide a comment on the discussion topic.,"Okay 12 night - - is this really your thinking? 
White male=white supremacist?",,male,gender,False,0.6,True,
6018087,Provide a comment on the discussion topic.,Black and brown males are unjustly targeted by police in general -- we all know this. So wouldn't this happen in schools as well? Schools should feel like safe places for everyone.,,black,race,False,0.3,False,
847691,Provide a comment on the discussion topic.,"Good points, but...

This story: ""Will he create a registry of Muslims?""

You mean like the one President Obama rescinded just a few weeks ago?",,muslim,religion,False,0.0,False,
4977073,Provide a comment on the discussion topic.,"This is why women aren't taken seriously, they more often than not make the wrong choices, come on girls what's next, NO SEX FOR YOU !  The reason women are paid 13% less than men is because they take at least 13% more time off for you know why!",,female,gender,False,0.7,True,
605038,Provide a comment on the discussion topic.,"1. Only from what they write. My gripe with the Pope is that he has allowed a situation to develop over AL whereby it is being interpreted differently by bishops and bishops' conferences throughout the world.
When Pope St John II spoke on the doctrinal matter of women's ordination he did it 'to confirm the brethren in order that no doubt might remain'. Pope Francis has studiously ignored pleas from scholars, priests and even cardinals to remove all doubt about the Exhortation.
2. Of course those posts had everything to do with religion, they were centred mainly on abortion and religious freedom. Hillary's manifesto I concluded was downright anti-Catholic and that the Catholic Church would find him a more sympathetic President than her. I am naturally delighted at this but if you wish to interpret that as gloating and jeering, so be it.
I gave you my answer, if you don't accept it there is not much more I can do about it.",,female,gender,False,0.0,False,
266211,Provide a comment on the discussion topic.,The Catholic Church DOES NOT need legislation for this issue. My understanding and experience  is that the Catholic Church will deny marrying people for any number of reasons based on their interview with the a priest or deacon.   And the state does not need to waste time or money on pursuing this legislation.  There are a lot more important issues to deal with this year.,,christian,religion,False,0.0,False,
5152018,Provide a comment on the discussion topic.,Why cherry pick? Why not help all the gay people being prosecuted in all Muslim countries?,,muslim,religion,False,0.3,False,
6033567,Provide a comment on the discussion topic.,"Rubbish.
Only about a third of the DA's supporters are white and most whites want clean governance before white governance.",,white,race,False,0.6,True,
7103853,Provide a comment on the discussion topic.,I'll name you a hundred Muslim terrorists for one Christian terrorist and it's probably more like a thousand. by the way you sound like a teacher.,,christian,religion,False,0.5758,True,
776497,Provide a comment on the discussion topic.,"There is only a limit to what education can do for many people. I used to work in warehouses and factories in Montreal doing general labor. Many of the men I worked with were very bright and competent. However many of them were so stupid that they were capable of only doing the simplest tasks like putting stuff in boxes.

I don't have a good solution to the disappearance of blue collar jobs. I believe it's more of the loss of self-respect that comes from having a job that matters the most. Perhaps we should have a basic income for people in Canada.",,male,gender,False,1.0,True,
964222,Provide a comment on the discussion topic.,"but, but, but...  he is a good Catholic!  he and Cardinal Burke are good friends and agree about the evil Muslims!    

https://www.nytimes.com/2017/02/07/world/europe/vatican-steve-bannon-pope-francis.html",,muslim,religion,False,0.875,True,
5620045,Provide a comment on the discussion topic.,"Where is that $100,000 now?  No one attached to the cemetery has seen it and the huckster who allegedly raised it won't account for it?  More lies from the muslim community.",,muslim,religion,False,0.6,True,
603378,Provide a comment on the discussion topic.,Herr Trump's inclusion of a white supremacist in his inner circle tells us what to expect.,,white,race,False,0.3,False,
524440,Provide a comment on the discussion topic.,"Gary, what Trump has actually done as demagogue? He has whipped the conspiracy loonies in the Republican party into a frenzy, he has stoked the racists and inspired the misogynists but he has never participated in any kind of legislative or executive political act to the best of my knowledge. When it comes to Republican party policies that attack women, Donald Trump is blameless. As is commonly known, he was formerly a Democrat. 

If anything, the comparison is  unfair to Trump who is more obsessed with his own political fate than that of the degenerate and misogynistic party he currently is representing as a candidate. The guy is repulsive by any measure but, it must be conceded, he has only caused harm to the individual women he has forced himself on, whereas the Republican party has been very successful at attacking all American women's basic rights to life, liberty and the pursuit of happiness.
The kind of values the Republican party represents has been clear for years.",,female,gender,False,0.5,True,
941549,Provide a comment on the discussion topic.,This is the oldest trick in the book to fool the public! You attach your issues to something like women or race so you can use the same talking points! That way when anyone attacks you then you use the oh I am fighting for women line ! But in realty you have your own agenda rather it be to gain votes for yourself or push a side issue.. Why is everyone wants to fight in marched when the cameras rollong .. What have you done in the community with your sleeves rolled up for women!!   She has learned the art of politics but it backed fired on her!!!,,female,gender,False,0.0,False,
5937405,Provide a comment on the discussion topic.,"Didn't Donal Trump inject race into everything? Wasn't he playing the race card everywhere? Who were his ""forgotten voters?"" Angry white men. What was he doing calling Mexicans rapists?",,white,race,False,0.6,True,
6326075,Provide a comment on the discussion topic.,"You wrote this, and it is not even remotely close to what I wrote-I do not bring up race. Just facts.  

(Post written by Q Hall to me here --->)  ""only white judges can preside or a trial of a white man""

 WOW!

Please reread my post, then respond and thank you.

As for the rest, read my response below on half truth. And btw, ""Trump U"" is/was owned by ""The Trump Organization.""
Trump U is a International Company with Trump's name as a draw-just as Pete Dye Golf Courses use Pete Dye as 'The Draw'-
[...] The Trump Organization is an American privately owned international conglomerate based in Trump Tower in Midtown Manhattan, New York City...https://www.trump.com/",,white,race,False,0.0,False,
793411,Provide a comment on the discussion topic.,"I think it is quite rational to be afraid of Islam. It's a violent, proselytising death cult. Just look at it's history over the las 1400 years.",,muslim,religion,False,0.6,True,
500990,Provide a comment on the discussion topic.,"Why, can't you read> I thought it was all about the uneducated white dude?  You don't know what a majority is?  OMG, I think I am starting to understand this problem.  Obama must not understand it either.  After all, all he ever did for 8 years was support extreme minorities in population stats.",,white,race,False,0.5,True,
355854,Provide a comment on the discussion topic.,"Dana Milbank is one of the worst leftist liberal writers there is...just despicable, IMO.

There is No Doubt whatsoever that Barry Sotero, aka Barack Husseing Obama is heavily invested in his self concept as a Muslim.
All one needs to do is read his comments he has made (and NOT made) regarding Muslims, juxapositioned with his non-pulsed reactions to Christians being murdered. 

Has anyone ever asked Obama why he changed his name?
We all know Cassius Clay became ""Muhammad Ali "" when he became a Muslim. 
Why the big secret?",,christian,religion,False,0.5,True,
5030465,Provide a comment on the discussion topic.,"Sure, right after Islam does....",,muslim,religion,False,0.0,False,
825870,Provide a comment on the discussion topic.,"Let's stop calling them 'honour killings' and call them what they really are:  murder of women/girls by family members.

Nothing honourable in that.  Savages.",,female,gender,False,0.6,True,
5309849,Provide a comment on the discussion topic.,"Dejain, you're an easy ball to knock out of the park. I wish I could publicly debate you. I'd take your naive, uninformed arguments apart like a shredder. 

To the readers of his comment, see:

“A Comprehensive Look at Gender Equality: Taking On The Institute For Women's Policy Research” www.malemattersusa.wordpress.com/2012/02/16/the-doctrinaire-institute-for-womens-policy-research/",,female,gender,False,0.1667,False,
6208797,Provide a comment on the discussion topic.,"I tried to replace ""white"" with Native, Black and Muslim......and guess what?   It didn't meet civility standards.....lol.....it is all such a pathetic joke anymore.",,muslim,religion,False,0.775,True,
6242560,Provide a comment on the discussion topic.,"When I arrived in Quebec the people were debating whether and how to place English on signs--arguing where exactly to place it and what exact size lettering relative to the French. There are real issues, of course, behind protecting French, but I would like to see Quebecers focus now on the overstressed health care system, the human and medical costs of widespread drug and tobacco addiction, and the astonishing percentage of illiteracy. Leave the very few women who wear niqabs alone.",,female,gender,False,0.0,False,
809698,Provide a comment on the discussion topic.,"In Fact under JPII, the Vatican Bank laundered CIA money from Iran that was used to wipe out so many Central American Natives.  So the idea of sainthood in the Church has been altered.  Make no mistake about it, the Catholic church if it is at all attempting to fulfill the goals of Jesus must learn to pattern themselves after others that than the hurriedly canonized former pope.",,christian,religion,False,0.1667,False,
5443091,Provide a comment on the discussion topic.,"So is the guy who shot the Republican Congressman a left wing fanatic, or a Christian terrorist?",,christian,religion,False,0.8,True,
6164139,Provide a comment on the discussion topic.,"A just society helps all people who are disadvantaged and provides equal opportunities for all, regardless of the colour of their skin. Reverse racism, ie., the concept of ""white privilege"", simply perpetuates divisions based on race rather than individual needs and responsibilities. It also empowers the traditional racists and, I would argue, is one of  reasons the world is stuck with a racist misogynist idiot as US President.",,white,race,False,0.6029,True,
517822,Provide a comment on the discussion topic.,"Isn't this entire fiasco, just a bit too much? Afraid to make a commitment before but now she makes an instantaneous decision? I wonder how many people have heard exactly those same words that Trump uttered on that tape, when they were in a locker room, a bar, or even in the military services? Does anyone remember going to a concert and seeing women trowing their panties or bras on the stage? Funny how prudish we can be depending on the convenience I suppose. This election season has been entertaining and very revealing.",,female,gender,False,0.0,False,
898082,Provide a comment on the discussion topic.,"Says the person who believes in an invisible super being (fantasy) and voted for a widely-acknowledged, mentally ill pathological liar (reality).  I see that you conflate fantasy with reality, a common problem with religious people and Trumpnuts.  Both have a tenuous grip on reality and so have difficulty distinguishing between fact and fiction, or ""alternative facts"" as Kellyanne Conway recently stated to worldwide ridicule.  You have a choice. You can either hide in your fantasy world or put on your big boy- or big girl - panties and deal with reality.",,female,gender,False,0.5,True,
5457052,Provide a comment on the discussion topic.,"When created a cardinal, the candidate promises and swears to be constantly obedient to ""Blessed Peter in the person of the Supreme Pontiff N., and of his canonically elected Successors"". This is because the Pope is his temporal boss ... i.e. the person in authority over him in the institution of the church (you are the rock upon which I will build my church, etc, etc) ... of course, you twist this by referring to the eternal master ... but it makes you sound so much like a cafeteria catholic who doesn't like the current incumbent of the chair of Peter ... gosh, how the worm has turned!",,christian,religion,False,0.1667,False,
5778131,Provide a comment on the discussion topic.,"It's insulting speech, it's hatred, it's discrimination, it promotes violence and it has no place in a civilized society. Would you defend a bunch of racists yelling the N* word at blacks passing by? Or C* word to women passing by? There is a fine line that one is to not cross in public and if anyone like the Democrat heavy ACLU wants to defend these scum then they are promoting racism, hatred and violence! Where's the public apology from the ACLU for defending the KKK?",,female,gender,False,0.642,True,
6260699,Provide a comment on the discussion topic.,"predictably you did not have the intelligence to be original, but at least you did man up, somewhat, and admit you were spinning yourself stupid calling our forests tree plantations. but then you end with this mindless drivel about Zybach and tree plantations. I get it, you're a deluded ignorant tool, easily manipulated like a sheep through left wing propaganda. I reiterate, I am damn impessed you learned how to type this mindless drivel.",,male,gender,False,0.6933,True,
245466,Provide a comment on the discussion topic.,"As usual, it is Christians and Jews helping their fellow man.

I pray for the day when atheists, Moslems, etc will also begin to do something positive for others.",,christian,religion,False,0.3,False,
6118552,Provide a comment on the discussion topic.,"What's race or firearms necessary got to do with a skinhead's ideology and/or ethos? They also hate women, you know. One supposes that naturally extends to LGBTQI individuals as well.",,female,gender,False,0.0,False,
704014,Provide a comment on the discussion topic.,"Some people do not like the phrase ""black lives matter"" not because those lives don't matter, but because we should be joining together to say ""all lives matter.""  You call me white man?  Then you are racist for singling me out and communicating with me in a manner predicated on race.  I am human.  I presume you are human.  Together we succeed.  Opposed we bleed.",,male,gender,False,0.6,True,
5377736,Provide a comment on the discussion topic.,"How can you know the rule if you see people around you receiving Communion in the hand without any problems? And the other priest put it into their hands without problem. Also I have seen plenty of broadcast from the Vatican and many, many people, including those who were given Communion by the pope, received it in the hand. Also in recent months, well after our time in Rome. So it is perfectly permitted.",,christian,religion,False,0.0,False,
5524039,Provide a comment on the discussion topic.,"Add the man of PostBank to your ""honorary"" list.",,male,gender,False,0.0,False,
5226783,Provide a comment on the discussion topic.,"Let's not forget either, that Margaret Sanger considered ""Jews, Negroes, Soldiers..."" as ""Human weeds"" and not worthy of life.   Progressives are such fine, elite people deciding who is best fit for their all white, utopian, ideal society of the future.  (And, like Hitler, they'll use ANYONE to advance their agenda.)",,white,race,False,0.6,True,
5322770,Provide a comment on the discussion topic.,"I don't see how the Liberals are being anti-Christian here.  They are being anti-social conservative.  They would be against the same anti-choice, homo/transphobic views if espoused by a Jew, Muslim, Hindu or Buddhist.",,muslim,religion,False,0.5,True,
5819733,Provide a comment on the discussion topic.,"After His ascension, Jesus Christ gave a revelation by sending his angel to his servant John to show his servants what must soon take place. The revelation includes the spoken testimony of Jesus Christ, including these words: ""To the angel of the church in Ephesus write: ... I know that you cannot tolerate wicked men, that you have tested those who claim to be apostles but are not, and have found them false. ... Repent and do the things you did at first. ... But you have this in your favor: You hate the practices of the Nicolaitans, which I also hate."" (Revelation 2:1-2, 5-6) My Bible footnotes describe the Nicolaitans as a heretical sect within the church that had worked out a compromise with the pagan society. They taught that spiritual liberty gave them sufficient leeway to practice idolatry and immorality — hateful practices that resulted from false doctrine. Jesus Christ hated the practices of the Nicolaitans and praised the Christians at Ephesus for joining Him in this hatred.",,christian,religion,False,0.0,False,
6309374,Provide a comment on the discussion topic.,"I'm not comfortable around groups of young white men. Maybe they should be banned. You know, for my comfort?",,white,race,False,0.5,True,
